Well Number,Month of Production,Days,BBLS Oil,BBLS Water,MCF Prod
21552,2-2018,28,1583,738,966
21552,1-2018,31,1605,917,1118
21552,12-2017,31,1576,1181,1482
21553,5-2018,31,2516,1747,1814
21553,4-2018,30,2326,1566,1503
21553,3-2018,31,2280,2005,1395
21553,2-2018,28,2362,1863,980
21553,1-2018,31,2641,1827,884
21553,12-2017,31,2726,2016,1301
21554,5-2018,31,2009,595,1501
21554,4-2018,30,1702,974,1490
21554,3-2018,31,1576,1285,1356
21554,2-2018,28,1451,812,805
21554,1-2018,31,1785,1029,921
21554,12-2017,31,2013,1223,1410
21556,5-2018,31,1917,1631,1440
21556,4-2018,30,1504,1596,1295
21556,3-2018,31,1847,1660,1678
21556,2-2018,28,2220,1553,2592
21556,1-2018,31,2177,1593,875
21556,12-2017,31,2732,2245,1302
21557,5-2018,31,1334,919,1549
21557,4-2018,30,1273,1541,1313
21557,3-2018,31,1314,1125,1451
21557,2-2018,28,1614,1142,1567
21557,1-2018,30,1407,1231,831
21557,12-2017,31,1631,1616,1512
21558,5-2018,31,2145,1612,1730
21558,4-2018,30,2121,1404,1708
21558,3-2018,31,2239,1691,1547
21558,2-2018,28,2061,1467,1260
21558,1-2018,31,2287,1932,1278
21558,12-2017,30,2501,1416,1528
21559,5-2018,31,1858,915,1542
21559,4-2018,30,1870,1125,1905
21559,3-2018,31,1878,951,1878
21559,2-2018,28,1822,1333,1344
21559,1-2018,31,2403,1839,1570
21559,12-2017,31,2598,1110,1951
21560,5-2018,31,2908,1912,2897
21560,4-2018,30,3239,1664,2222
21560,3-2018,31,3322,2503,1709
21560,2-2018,26,1935,1655,2209
21560,1-2018,30,2136,1531,2791
21560,12-2017,31,2090,1556,1425
21561,5-2018,31,1218,1587,1775
21561,4-2018,30,1664,1349,1860
21561,3-2018,31,1808,1162,1793
21561,2-2018,28,1554,1147,1046
21561,1-2018,28,1648,2038,3489
21561,12-2017,28,1519,1070,1202
21904,5-2018,31,2319,988,4367
21904,4-2018,30,2107,17,3555
21904,3-2018,23,1481,29,1920
21904,2-2018,28,1490,146,1907
21904,1-2018,20,699,11,853
21904,12-2017,19,1102,89,1506
21905,5-2018,31,1432,271,1200
21905,4-2018,30,1501,6,1230
21905,3-2018,31,1652,11,1603
21905,2-2018,27,1461,32,1373
21905,1-2018,30,1442,3,1391
21905,12-2017,31,1717,55,1569
21906,5-2018,31,1837,3435,4112
21906,4-2018,30,1910,6133,4046
21906,3-2018,31,1876,5921,4239
21906,2-2018,28,1670,6379,3835
21906,1-2018,30,2212,6528,3981
21906,12-2017,30,2103,4693,3796
21908,5-2018,31,1090,1527,846
21908,4-2018,30,1085,3522,745
21908,3-2018,31,1292,3300,860
21908,2-2018,28,1163,3483,827
21908,1-2018,30,1384,3526,1111
21908,12-2017,31,1466,2269,1048
22028,5-2018,31,3113,3403,2905
22028,4-2018,30,3156,2952,2751
22028,3-2018,31,3372,2869,2291
22028,2-2018,28,3254,2782,1995
22028,1-2018,31,3825,2862,2338
22028,12-2017,29,1348,2667,1173
22029,5-2018,31,2535,3248,1829
22029,4-2018,30,2503,3987,1733
22029,3-2018,31,2216,5355,1302
22029,2-2018,27,1641,5328,751
22029,1-2018,29,1556,7141,940
22029,12-2017,31,2117,9072,737
22092,5-2018,9,143,125,338
22092,4-2018,0,0,0,0
22092,3-2018,31,771,595,597
22092,2-2018,28,755,808,447
22092,1-2018,31,714,378,395
22092,12-2017,31,933,640,661
22093,5-2018,17,384,1662,398
22093,4-2018,30,996,3110,1140
22093,3-2018,31,1092,3348,1356
22093,2-2018,28,1045,3198,1436
22093,1-2018,31,1230,3818,1630
22093,12-2017,31,1267,4189,1493
22649,4-2018,30,1120,970,1151
22649,3-2018,31,1167,1037,1199
22649,2-2018,28,1074,932,1103
22649,1-2018,31,1236,1082,1269
